Name,Date,Water Vol,On-Line,Av BHP,Spot BHP,Av BHT,Av WHP,Cum WHP,Cum Volume
IA04,2006-04-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
