Time,Fixed_inj1,Net_Fixed_inj1,Fixed_inj2,Net_Fixed_inj2,Prod1,Net_Prod1,Prod2,Net_Prod2,Prod3,Net_Prod3,Prod4,Net_Prod4
22,1350.9511480216468,49197.37943441781,900.9314041296572,26753.30582501758,870.0348628420669,26624.206943644018,954.7775158379062,29896.742528443847,1295.5323026458648,28234.569773196275,395.9950867633054,13164.028044650782
23,847.4901642702424,50044.86959868805,891.1718419889652,27644.477667006548,804.9121547933651,27429.119098437382,893.9521684371445,30790.69469688099,1021.74525869101,29256.315031887287,408.0636448058176,13572.0916894566
24,1420.1466631496417,51465.01626183769,1155.7213264638315,28800.198993470378,932.427732294056,28361.546830731437,1038.256633889668,31828.95133077066,1020.8138191629295,30277.128851050216,752.8264833575266,14324.918172814127
25,1020.1719111089527,52485.18817294665,1005.0870966525199,29805.2860901229,893.4174108415071,29254.964241572943,977.1619861817475,32806.113316952404,1198.8226416971272,31475.951492747343,416.748325084113,14741.666497898239
26,1581.9504195356212,54067.13859248227,512.2389245369578,30317.52501465986,847.6393312452745,30102.603572818218,921.942788640321,33728.056105592725,965.9476170375074,32441.89910978485,479.7711649297187,15221.437662827957
27,997.9429163796218,55065.08150886189,796.4894204448996,31114.01443510476,758.4462126473876,30861.049785465606,970.7657537418858,34698.82185933461,1010.7439566003227,33452.64306638517,398.5297598835002,15619.967422711457
28,1087.6877221421921,56152.76923100408,688.7523159869799,31802.76675109174,781.2394645935888,31642.289250059195,745.2288678590063,35444.050727193615,830.8091953763815,34283.45226176155,423.4415646946741,16043.408987406132
29,1403.829454410841,57556.59868541492,736.5860307217677,32539.352781813508,664.753786635271,32307.043036694467,732.15025356021,36176.20098075383,942.2025229585487,35225.6547847201,437.73985661494453,16481.148844021078
30,421.4992321813343,57978.09791759626,785.8515836021073,33325.204365415615,690.4978518102786,32997.54088850474,710.7768384598867,36886.97781921372,802.0457624132492,36027.70054713335,593.2732452977178,17074.422089318796
31,1492.6300442888542,59470.72796188511,736.983587522756,34062.18795293837,695.214996628078,33692.75588513282,715.5369502511699,37602.514769464884,754.6488221349961,36782.34936926834,729.4458892692065,17803.867978588
32,1377.9447115529247,60848.672673438035,501.2959478464573,34563.48390078483,712.7752471638329,34405.53113229665,964.6878591218001,38567.20262858668,805.6926721938803,37588.04204146222,683.338860704131,18487.206839292132
33,1233.5465749487803,62082.21924838681,444.756015404668,35008.239916189494,673.451249643667,35078.98238194032,690.8744401771218,39258.0770687638,740.5263277888017,38328.56836925102,571.2201977251066,19058.427037017238
34,722.7660532244294,62804.98530161124,822.0120104460235,35830.251926635516,637.1566616033655,35716.139043543684,812.2087056979739,40070.28577446177,732.3291596051558,39060.89752885618,687.4430331064613,19745.8700701237
35,1099.1790734222307,63904.16437503347,642.1995640156634,36472.451490651176,628.4355629345638,36344.57460647825,721.531959171783,40791.81773363356,783.0771519934307,39843.974680849606,399.2394375508652,20145.109507674566
36,1111.2370015170975,65015.401376550566,678.8118759544387,37151.26336660561,673.5634857248116,37018.138092203066,731.5680663627982,41523.38579999636,769.0954783516162,40613.07015920122,554.331285511686,20699.44079318625
