,time,prod1,prod2,prod3,prod4,prod5,prod6,prod7,inj1,inj2,inj3,inj4
972,972,11099.301732846343,9246.452393991887,6129.278610578764,2122.494228474792,5188.492684562919,21326.74241826991,0.0,27425.73562499999,5043.9750208333335,0.0,0.0
973,973,10884.231716295586,9136.901886806403,6092.452762545865,2110.4678284935635,5131.9018889608515,21223.393623139233,0.0,27388.088541666657,5043.7656875,0.0,0.0
974,974,8927.077888332591,7571.158851566243,2954.616495861757,1755.1744999218106,2476.5929663986926,17297.012584779353,0.0,15938.05333333333,2919.168458333333,0.0,0.0
975,975,7743.31042094605,6634.8557097665,0.0,1543.7166497954208,1315.600111105857,15549.62273905139,0.0,19416.796249999996,2971.841979166667,0.0,0.0
976,976,10100.773549956219,8744.473264782047,0.0,2041.9632384049892,4888.109645884666,20585.35100181978,0.0,30713.604791666672,5071.929437499999,0.0,0.0
977,977,10120.801730510835,8786.085018069109,2968.066427017186,2059.149227650571,4903.866984643865,20775.72883574729,0.0,581.5502083333333,135.49131250000002,0.0,0.0
978,978,10567.560787515195,9199.340481748162,6235.821048076355,2163.8505583659353,5126.8376446698,21850.118721289455,0.0,0.0,0.0,0.0,0.0
979,979,10158.509736138469,8867.7456692846,6030.85746792087,2093.447626072181,3495.4836377667893,21156.637085044982,0.0,0.0,0.0,0.0,0.0
980,980,10508.958076854538,9164.163434685506,6326.641632156991,2179.5715709275037,3300.875308958313,21204.84906786881,0.0,0.0,0.0,0.0,0.0
981,981,1230.9263329738314,4289.188813197536,5045.56703898196,1027.228427858066,2420.5736389967274,15469.687839690896,0.0,0.0,0.0,0.0,0.0
982,982,3983.758285407023,7117.588326241398,6169.058932822315,1826.838599532749,1537.1101752729255,15737.92717400656,0.0,0.0,0.0,0.0,0.0
983,983,10533.686603978522,4538.14781520889,5285.01298591282,435.0646369618053,1407.4296647375452,670.1466299395852,0.0,0.0,0.0,0.0,0.0
984,984,11618.160274935395,10487.493876242395,6817.689969393616,2096.8202442911606,5678.824134680677,17592.804630477123,0.0,0.0,0.0,0.0,0.0
985,985,10951.99137257493,9535.44409578577,2297.6211579029687,2349.126432456482,5581.752416188532,18839.898288606895,0.0,0.0,0.0,0.0,0.0
986,986,11443.232120978759,8936.33910256933,0.0,2356.8965689775355,5563.996978162297,18499.014262324014,0.0,0.0,0.0,0.0,0.0
987,987,10851.293092638984,8505.012042331033,3636.1715296742836,2290.1048348694194,5609.430893436829,18549.443216522977,0.0,0.0,0.0,0.0,0.0
988,988,11685.06199777636,8768.16694597041,6402.100805570511,2401.616896943223,5649.790869938028,18528.393889141138,0.0,0.0,0.0,0.0,0.0
989,989,9810.129611605527,3717.893780027849,3110.3366950915997,1139.7853121348417,2649.789877255277,12657.794963133654,0.0,0.0,0.0,0.0,0.0
990,990,10850.142878350829,2788.9385283058123,0.0,0.0,1141.9007475898636,15728.696496943687,0.0,0.0,0.0,0.0,0.0
991,991,11114.839061128881,8906.768282321453,3568.384706071748,2014.4889714138365,4690.72504246411,18692.640451037754,0.0,0.0,0.0,0.0,0.0
992,992,12139.453326801402,9017.673907735847,6541.746031172498,2249.99014007824,4335.237378702739,12569.220873783015,0.0,0.0,0.0,0.0,0.0
993,993,11119.820797411863,7969.857832891189,6081.537461818398,2099.9930277848703,4234.450591522263,17172.92909442116,0.0,0.0,0.0,0.0,0.0
994,994,6547.373110399595,7287.917995828775,6222.616844342877,2291.3219312619203,4495.849516941213,18853.45963118892,0.0,0.0,0.0,0.0,0.0
995,995,0.0,8339.857862196384,0.0,2316.342203963661,4669.491972183915,18552.647103753512,0.0,0.0,0.0,0.0,0.0
996,996,0.0,8206.562866314469,0.0,2282.302552007322,4673.9114147406435,18571.831276244196,0.0,0.0,0.0,0.0,0.0
997,997,0.0,8016.014862236559,0.0,2338.1907731913775,4726.0945412731335,18538.998236322353,0.0,0.0,0.0,0.0,0.0
998,998,0.0,2796.3910837208,0.0,0.0,1197.0949901059676,13228.044882532227,0.0,0.0,0.0,0.0,0.0
999,999,0.0,4190.241757067336,2097.8987034203387,0.0,2478.4858027736846,14463.370455370454,0.0,0.0,0.0,0.0,0.0
1000,1000,0.0,8279.145965045946,5987.97722257224,0.0,3474.3891341713515,17411.857992658894,0.0,0.0,0.0,0.0,0.0
1001,1001,0.0,262.08645486580514,238.99422352529533,0.0,1770.5807117832655,11170.159280303276,0.0,0.0,0.0,0.0,0.0
1002,1002,0.0,8564.68301882937,6304.76073567943,0.0,6526.063158926616,13715.501339592405,0.0,0.0,0.0,0.0,0.0
1003,1003,0.0,8882.869752404664,6991.727849142838,0.0,4017.906094587851,19013.443868564733,0.0,0.0,0.0,0.0,0.0
1004,1004,0.0,8384.22507623812,6396.0074876407,0.0,4713.251163106892,18991.11072895219,0.0,0.0,0.0,0.0,0.0
1005,1005,0.0,8177.482472857589,6329.350841712884,0.0,4955.582580742915,18598.994806660805,0.0,0.0,0.0,0.0,0.0
1006,1006,0.0,4312.826739205328,3424.4440427946865,0.0,3137.268319263232,12026.368226442048,0.0,0.0,0.0,0.0,0.0
1007,1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1008,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,1009,0.0,0.0,0.0,0.0,0.0,5134.0,0.0,0.0,0.0,0.0,0.0
1010,1010,0.0,0.0,0.0,0.0,0.0,12206.0,0.0,0.0,0.0,0.0,0.0
1011,1011,0.0,0.0,0.0,0.0,0.0,12101.0,0.0,0.0,0.0,0.0,0.0
1012,1012,0.0,0.0,0.0,0.0,0.0,12061.0,0.0,0.0,0.0,0.0,0.0
1013,1013,0.0,0.0,0.0,0.0,0.0,13000.0,0.0,0.0,0.0,0.0,0.0
1014,1014,0.0,0.0,0.0,0.0,0.0,13163.0,0.0,0.0,0.0,0.0,0.0
1015,1015,0.0,0.0,0.0,0.0,0.0,12914.0,0.0,0.0,0.0,0.0,0.0
1016,1016,0.0,0.0,0.0,0.0,0.0,14270.0,0.0,2893.5899395486986,137.41006045130166,0.0,0.0
1017,1017,0.0,2299.1336526823334,5415.221897879068,0.0,0.0,18131.644449438598,0.0,31241.184465847862,3387.8155341521338,0.0,0.0
1018,1018,5005.545872678317,6717.334668334038,6349.518889725404,0.0,0.0,7721.600569262241,0.0,31575.46283248472,3391.537167515273,0.0,0.0
1019,1019,9086.711996094517,8710.011253102368,6388.223877163013,0.0,0.0,974.0528736401012,0.0,31309.410144079746,2747.589855920251,0.0,0.0
1020,1020,5336.621160923534,5328.144569682198,2973.7251833654136,0.0,0.0,16765.509086028855,0.0,33983.934702852894,24622.065297147103,0.0,0.0
1021,1021,9382.008765823131,8963.961704741587,2815.8792093688353,0.0,2742.1535716088856,20840.99674845756,0.0,33686.95928133807,30672.040718661927,0.0,0.0
1022,1022,1909.4072685444835,1659.8313416718545,1050.7351164645336,0.0,527.2405263543069,7941.785746964822,0.0,23772.091228353584,22771.908771646413,0.0,0.0
1023,1023,7203.908424017452,0.0,0.0,0.0,0.0,8476.091575982548,0.0,26672.740465904808,23096.25953409519,0.0,0.0
1024,1024,8202.59553318264,0.0,0.0,0.0,0.0,11150.404466817357,0.0,33224.07383230632,29208.926167693677,0.0,0.0
1025,1025,6568.55532700914,1431.6715507176161,0.0,0.0,1023.3850550921773,11381.388067181068,0.0,15761.781303730662,14603.218696269336,0.0,0.0
1026,1026,4441.094658510257,0.0,0.0,0.0,0.0,7404.905341489742,0.0,9873.568197258568,9738.431802741432,0.0,0.0
1027,1027,8823.751289207139,0.0,0.0,0.0,0.0,16681.248710792857,0.0,6512.559674106221,6225.440325893781,0.0,0.0
1028,1028,9545.446197237936,2983.8805291880108,2105.6695357583267,0.0,1773.7798197880963,19671.22391802763,0.0,11999.339540215224,10827.660459784778,0.0,0.0
1029,1029,9091.000193278518,8518.913512669342,6042.675841417348,0.0,2832.2026167787553,19999.207835856036,0.0,29212.33321072325,28580.666789276755,0.0,0.0
1030,1030,8817.024444771625,8445.153638024147,5959.5959958685,0.0,2762.338914312183,19563.88700702355,0.0,14809.855599905217,21791.14440009478,0.0,0.0
1031,1031,8790.119659179963,8312.2158953634,5737.729348162589,0.0,2696.5777926374926,19228.357304656558,0.0,6783.158959400596,6572.841040599404,0.0,0.0
1032,1032,8729.940084205808,8304.092807773237,5652.956533976507,0.0,2696.4468821558144,19196.563691888627,0.0,29163.513764683426,28633.486235316574,0.0,0.0
1033,1033,8709.964520649155,8312.265968950269,5646.433115603502,0.0,2679.9861387291353,19268.350256067937,0.0,30719.347981430165,21586.652018569832,0.0,0.0
1034,1034,8726.16503194629,8269.032443721542,5618.566848424814,0.0,2661.8751708519226,19348.36050505543,0.0,31400.734182418822,26438.26581758118,0.0,0.0
1035,1035,6106.9969731978235,8637.6130242429,2950.3826582169986,0.0,2787.289546765801,20321.71779757648,0.0,25320.03509260483,22863.96490739517,0.0,0.0
1036,1036,0.0,8029.157196427248,0.0,0.0,2595.4121023714492,18925.4307012013,0.0,15769.957104053457,14058.042895946544,0.0,0.0
1037,1037,2613.0601437503797,8191.625901815426,0.0,0.0,2625.7787910047523,19233.535163429446,0.0,33487.99779978368,30302.002200216317,0.0,0.0
1038,1038,6614.454271454859,8235.797100545347,0.0,0.0,2658.0138392254216,19383.734788774374,0.0,33145.77584876476,30305.22415123525,0.0,0.0
1039,1039,6697.542914957897,8244.581239422445,0.0,0.0,2613.4558750761066,19292.419970543553,0.0,32968.38260144268,30299.61739855732,0.0,0.0
1040,1040,4831.49352894993,8513.68134018755,197.92851608193314,0.0,2693.9040947597778,19952.992520020813,0.0,32851.1803002213,30313.819699778705,0.0,0.0
1041,1041,4907.900732566649,8600.145163312707,5022.851105460543,0.0,2719.433026853642,20152.669971806463,0.0,32777.86351365943,30305.13648634057,0.0,0.0
1042,1042,5618.168595450643,8487.74023162318,5200.527773687404,0.0,2690.858070443866,19930.70532879491,0.0,31472.70761771158,30324.292382288422,0.0,0.0
